Creditor Name,Address Line 1,Address Line 2,Address Line 3,City,State,Zip,Contact,Phone,Fax,Consideration,Last Updated
CU Recovery,26263 Forest Blvd.,,,Wyoming,MN,55092,,,,,05/25/2021
CU1,Attn: Bankruptcy,1941 Abbott Rd,,Anchorage,AK,99507,,,,,11/29/2022
Cube Smart Self Storage,3899 N Oracle Rd,,,Tucson,AZ,85745,,,,,07/26/2024
Cubes Self Storage,27115 164th Ave SE,,,Kent,WA,98042,,,,,01/27/2026
Cucchetti Orthopedics,4440 N. 36th St. Ste. 100,,,Phoenix,AZ,85018,,,,,09/02/2020
Cuivre River Electric Cooperat,PO Box 160,,,Troy,MO,63379,,,,,09/12/2023
Cullimore & Coleman PLC,1708 E. Thomas Rd.,,,Phoenix,AZ,85019,,602-707-6308,,,12/21/2020
"Cullimore & Coleman, PLC",1708 E. Thomas Rd.,,,Phoenix,AZ,85016,,,,,03/22/2021
"Cullimore and Coleman, PL",2502 E University Dr Ste 200,,,Phoenix,AZ,85034,,,,,03/20/2024
CULS/CINCH,10800 ALPHARETTA HWY,,,Roswell,GA,30076,,,,,07/02/2025
Cumberland Manor Apartments,931 Spy Run Rd.,,,Indianapolis,IN,46229,,,,,08/05/2021
Curacao,Attn: Bankruptcy,1605 W Olynpic Blvd Ste 600,,Los Angeles,CA,90015,,,,,04/11/2025
Current,"217 Centre St, STE 180",,,New York,NY,10013,,,,,10/31/2025
Current/CRB,400 Kelby St,,,Fort Lee,NJ,07024,,,,,11/06/2025
CURRENT/CRB,885 TEANECK RD,,,Teaneck,NJ,07666,,,,,04/23/2026
"Curry, Pearson & Wooten PLC",814 W. Roosevelt St.,,,Phoenix,AZ,85007,,,,,03/02/2023
Curt and Diane Peterson,13304 E 55th Drive,,,Yuma,AZ,85367,,,,,11/03/2025
Curtis William Calvers - Farmers Insuran,20311 S. Ellsworth Rd Suite 112,,,Queen Creek,AZ,85142,,,,,04/06/2023
CUSD Community Education,Lil' Explorers,1225 W Frye Rd.,,Chandler,AZ,85224,,,,,04/07/2021
Custom Water Solutions,"1673 S. Market Blvd., #186",,,Chehalis,WA,98532,,,,,03/17/2023
Customer Care Global,"2500 W. Higgins Road, Suite 950",,,Hoffman Estates,IL,60169,,,,,08/15/2025
CUSTOMERSBNK/UPSTART,P.O. BOX 1503,,,San Carlos,CA,94070,,,,,08/12/2025
Cutting Law Office PC,Suite 530,811 First Ave.,,Seattle,WA,98104,,,,,08/28/2024
CUYAHOGA FALLS MUNICIPAL,2310 2nd St.,,,Cuyahoga Falls,OH,44221,,,,,08/05/2022
CV Associates AZ Globe,"5882 S. Hospital Dr., Ste. 1",,,Globe,AZ,85501,,,,,06/30/2023
CV U Village LLC,4715 25th Ave NE,,,Seattle,WA,98105,,,,,07/21/2025
CVAM,PO BOX 6062,,,City of Industry,CA,91716-0642,,,,,03/02/2026
"CVG Properties, Inc",Attn: Bankrutpcy,PO Box 14670,,Scottsdale,AZ,85267,,,,,06/13/2022
CW NEXUS CREDIT CARD,101 Crossways Park Dr W,,,Woodbury,NY,11797,,,,,07/23/2025
CWS/CW Nexus,PO Box 9201,,,Old Bethpage,NY,11804,,,,,09/27/2019
Cyclebar,7425 166th Ave NE,,,Redmond,WA,98052,,,,,11/06/2023
Cynthia Fajardo,C/O Mark C. Wagner,"6512 20th St. Ct. West, Ste A",,Tacoma,WA,98464-1170,,,,,09/26/2023
Cynthia L Johnson,"Law Office of Cynthia L. Johnson, Esq.",11640 East Caron Street,,Scottsdale,AZ,85259,,,,,05/14/2020
"Cynthia Roquillo, Girlfriend",7025 N. 33rd Ave.,,,Phoenix,AZ,85051,,,,,02/16/2021
Cypress Landing Community Association,PO Box 62465,,,Phoenix,AZ,85082,,,,,07/23/2025
"D & A Services, LLC of IL",Suite G2,1400 E. Touhy Ave.,,Des Plaines,IL,60018,,,,,10/22/2021
D&A Services,1400 E. Touhy Ave. Ste. G2,,,Des Plaines,IL,60018,,877-314-4308,,,12/04/2020
"D&A Services, LLC","1400 E. Touhy Avenue, Suite G2",,,Des Plaines,IL,60018,,,,,04/30/2024
"D.S. Erickson & Associates, PLLC",Suite 500,7650 Edinborough Way,,Minneapolis,MN,55434,,,,,12/20/2022
DABCO Property Management,2200 NE Westwood Dr Apt K301,,,Pullman,WA,99163,,,,,05/07/2025
Dabell and Paventy,720 N. Evergreen Rd. #101,,,Spokane,WA,99216,,,,,03/17/2025
Daffodil Storage,601 Valley Ave NE Ste A,,,Puyallup,WA,98372-2530,,,,,06/22/2022
Daimler Truck Financial,"c/o McCArthy & Holthus, LLP","108 1st Ave. South, Suite 300",,Seattle,WA,98104,,,,,12/12/2022
Daimler Truck Financial,"14372 Heritage Parkway, Ste 400",,,Fort Worth,TX,76177,,,,,01/05/2023
Daisy Mountain Fire District,41018 N. Daisy Mountain Dr.,,,Phoenix,AZ,85086,,,,,07/03/2024
Dakota Funding Group,#1 Wakpamni Lake Housing,,,Batesland,SD,57716,,,,,03/10/2022
Dale Bagby,9150 E Chof Ovi Dr,,,Tucson,AZ,85749,,,,,05/04/2025
Dalia Heiny,112 Winding Path,,,Boerne,TX,78006,,,,,11/02/2023
Dallam Hartley Counties Hospital,1411 Denver Ave.,,,Dalhart,TX,79022,,,,,04/18/2023
Damage Recovery,PO Box 843369,,,Kansas City,MO,64184,,,,,08/03/2020
Damage Recovery Unit,P.O. Box 843369,,,Kansas City,MO,64184,,,,,11/14/2024
Damien Matthew Bracamonte,5499 N. Via Del Arbolito,,,Tucson,AZ,85750,,,,,10/25/2021
Dan & Kristy McFarland,21989 N. 97th Glen,,,Peoria,AZ,85383,,,,,03/17/2020
Dan Duke,217 South San Francisco,,,Flagstaff,AZ,86001,,,,,04/16/2026
Dana Park Apts LLC,1440 S. Val Vista Dr.,,,Mesa,AZ,85204,,,,,02/08/2025
Dane County Clerk of Courts,"210 Martin Luther King Jr. Blvd., #106A",,,Madison,WI,53703,,,,,06/23/2023
Dane Michael Woldseth,4208 198th St. SW,Ste. 201,,Lynnwood,WA,98036-6736,,,,,09/17/2024
Dani Dental Studio,Attn: Billing | Bankruptcy,"1243 East Bradway, #201",,Tempe,AZ,85282,,,,,10/22/2021
Daniel E. Lynam,15026 Lawrence Lake Rd. SE,,,Yelm,WA,98597,,,,,01/18/2023
Daniel Enriquez,1701 W. Tuckey Ln. Unit 111,,,Phoenix,AZ,85015,,,,,03/24/2021
Daniel Garcia,2059 NW Misty Ridge Ln.,,,Silverdale,WA,98383,,,,,09/28/2022
Daniel Howes,4322 N Stone Street,,,Spokane,WA,99207,,,,,03/03/2026
Daniel Manchaca,2930 W. Citrus Way,,,Phoenix,AZ,85017,,,,,01/23/2026
Daniel Taheri MD,PO Box 847054,,,Los Angeles,CA,90084-7054,,,,,02/22/2022
Daniel Tony Hendrick,11660 Church Street #157,,,Rancho Cucamonga,CA,91730,,,,,02/12/2026
Danielle Pace,9707 E. Eighth Ave.,,,Spokane,WA,99206,,,,,08/14/2024
Danyell Brozovich,1103 W. 5th Ave.,,,Ellensburg,WA,98926,,,,,07/21/2023
"Darbi Debtal Supply, LLC",Attn: Billing | Bankruptcy,300 Jericho Quadrangle,,Jericho,NY,11753,,,,,10/22/2021
Darryl Williams,"7719 Vineyards Ln NE, D104",,,Bremerton,WA,98311,,,,,04/05/2023
Dasha Song,"700 17th St, Ste. 1400",,,Denver,CO,80202,,,,,10/07/2021
Data iSight,"222 West Las Colinas Boulevard, Suite 15",,,Irving,TX,75039,,,,,06/08/2023
"Daughter, landlord",29545 N. 71st Ln.,,,Peoria,AZ,85383,,,,,03/17/2021
Daughter-in-law,3816 N. 83rd Ave. #1064,,,Phoenix,AZ,85033,,,,,03/31/2021
Dave,1265 S. Cochran Ave.,,,Los Angeles,CA,90019,,,,,01/30/2025
Dave,1265 S Cochran Ave,,,Los Angeles,CA,90019,,,,Overdrawn Deposit Account,12/05/2025
Dave App LLC,460 E Auto Center Dr,,,Mesa,AZ,85204,,,,,11/15/2021
Dave Inc.,1265 S. Cochran Ave.,,,Los Angeles,CA,90019,,,,,04/07/2022
Dave Richardson,3710 Gun Club Rd.,,,Yakima,WA,98901,,,,,07/25/2024
Dave.com,1265 S. Cochran Ave.,,,Los Angeles,CA,90019,,,,,01/02/2023
"David A Fife, DO",c/o North Canyon Management,PO Box 11706,,Glendale,AZ,85318,,,,,09/21/2021
"David A. Suber, M.D.",Suite 17,2501 E. Southern Ave.,,Tempe,AZ,85282,,,,,04/05/2021
David Adcox,2603 Poplar Drive,,,Pinetop,AZ,85935,,,,,08/05/2025
David Armbruster,226 W. Jasmine St.,,,Mesa,AZ,85201,,,,,12/04/2020
David B Levin,120 Corporate BLVD,,,Norfolk,VA,23502,,,,,04/03/2020
David B. Sumacher,3519 N.E. 15th Ave #142,,,Portland,OR,97212,,,,,02/24/2026
"David Backer, Esq.",CC: CC2022-198390RC,PO Box 13428,,Tempe,AZ,85284,,,,,07/11/2023
David Braswell,"4717 S. 19th St., Ste. 109",,,Tacoma,WA,98405,,,,,07/17/2023
David C Ryder,Ryder Law Office,100 2nd Ave S #210,,Edmonds,WA,98020,,,,,02/25/2026
"David Fogel, Esq.","1255 Franklin Ave., Ste. 201",,,Garden City,NY,11530,,,,,03/17/2025
David Hulslander,1901 Badger Pocket Rd,,,Ellensburg,WA,98926,,,,,02/11/2023
David Isenberg D.D.S,150 Park Ave N,,,Renton,WA,98057,,,,,03/23/2022
David J. Bayt,C/O Indiana Finance Financial Corp.,P.O. Box 49,,Anderson,IN,46015,,,,,12/12/2023
David Jones,131 San Ildefonso,,,Los Alamos,NM,87544,,,,,03/04/2022
David Matthews,240 Stardust Sierra Vista,,,Sierra Vista,AZ,85635,,,,,12/12/2023
David Murphy,4805 N. Best Rd.,,,Spokane,WA,99216,,,,,05/21/2024
David Sed,PO Box 672,269 W. Main St.,,Ravenna,OH,44266,,,,,08/05/2022
David Sienema / Server LLC,On Behalf of Silac Insurance Company,1630 E Las Olas Blvd,,Fort Lauderdale,FL,33301,,,,,12/16/2025
David Smith,17408 NE 38th Way,,,Vancouver,WA,98682,,,,,02/24/2026
David Vansomephone MD LTD,PO Box 35984,,,Las Vegas,NV,89133,,,,,01/30/2023
David Weatherwax,3003 N. Central Ave.,Ste. 2600,,Phoenix,AZ,85012,,,,,03/04/2022
Davies Pearson PC,"1498 Pacific Ave., Suite 520",PO Box 1657,,Tacoma,WA,98401,,,,,07/17/2023
Davis County Farmington District Court,PO Box 769,,,Farmington,UT,84025,,,,,08/27/2021
Davis Mile McGuire Gardner,40 E. Rio Saldo Pkwy Suite 425,,,Tempe,AZ,85281,,,,,10/24/2019
Davis Wright Tremaine LLP,"560 SW 10th Avenue, Suite 700",,,Portland,OR,97205,,,,,05/08/2025
Davita,15271 Laguna Canyon Rd,,,Irvine,CA,92618,,,,,05/22/2025
Davy Thong,13027 24th Ave S,,,Seattle,WA,98168,,,,,10/25/2024
Dawn C. Van Why-Harvey,19114 140th St NW,,,Gig Harbor,WA,98329,,,,,04/07/2022
"DB 2ND Hand, LLC",PO Box 7000,,,Mesa,AZ,85216,,,,,09/22/2020
DCFS Trust,c/o Seidberg Law Offices,PO Box 7290,,Phoenix,AZ,85011,,,,,02/25/2022
"DCM Services, LLC",Attn: Bankruptcy,"1550 American Blvd., E., Suite 200",,Minneapolis,MN,55425,,,,,09/06/2022
DCSS - East MCPA,PO Box 40458,,,Phoenix,AZ,85067,,,,,09/06/2019
DCU,220 Donald Lynch Blvd,P.O. Box 9130,,Marlborough,MA,01752-9130,,,,,01/24/2023
DEA Investments,2507 E Mill Plain Blvd APT 1,,,Vancouver,WA,98683,,,,,10/07/2021
Deaconess Hospital,800 W 5th Ave,,,Spokane,WA,99204,,,,,01/07/2026
Dean Health Systems Inc.,1808 W. Beltline Hwy.,,,Madison,WI,53713,,,,,06/23/2023
Dean Lester,4792 Amo Court,,,West Jordan,UT,84081,,,,,09/18/2025
Deanna Chapman,299 Maple Tree St.,,,Marshfield,MO,65706,,,,,12/16/2025
Deanna Reed,17522 W. Wind Song Ave.,,,Goodyear,AZ,85338,,,,,09/29/2023
Dearborn Financial Credit Union,400 Town Center Dr.,,,Dearborn,MI,48126,,,,,02/07/2020
Dearborn Total Auto Grand River,24841 Grand River Ave,,,Detroit,MI,48219,,,,,12/05/2023
Debbie Caron,PO Box 1240,Lake Stevens,,Lake Stevens,WA,98258,,,,,01/12/2026
Debbie Harper,9301 24th Ave. E.,,,Tacoma,WA,98445,,,,,10/04/2023
Debi Katzman,27709 N. 23rd Dr.,,,Phoenix,AZ,85085,,,,,12/28/2020
Debora A Greene,3380 S. 4th Ave.,Lot 40,,Yuma,AZ,85365,,,,,11/09/2023
Deborah Valentine,3425 South 176th Street,,,Seattle,WA,98188,,,,,06/05/2025
Debra Rostro,996 W. Pinelano Lane,,,Tucson,AZ,85704,,,,,12/11/2020
Debt Blue,1125 E Camppbell Ed,Suite 200,,Richardson,TX,75081,,,,,03/28/2022
Debt Direct Management,1800 Elmwood Ave.,,,Buffalo,NY,14207,,,,,11/17/2023
Debt Management and Collections Systems,U.S. Department of Education,PO Box 5609,,Greenville,TX,75403-5609,,,,,07/21/2021
Debt Recovery Solutions,"6800 Jericho Turnpike, #113E",,,Syosset,NY,11791,,,,,04/14/2022
Debt Resolution Program,Attn: Consumer Capital Advocates,3317 NW Terr,,Oakland Park,FL,33309,,,,,10/15/2020
Debtor's Parents,5835 Sand Rd.,,,Bellingham,WA,98226,,,,,08/02/2021
DebtorCC,"001 Debtorcc, Inc",378 Summit Avenue,,Jersey City,NJ,07306,,,,,08/24/2019
"Debtsy, INC",130 W. 25th St. #6C,,,New York,NY,10001,,,,,09/11/2020
DECAF Debt Education & Certification,114 Goliad St.,www.DECAFnow.com,,Fort Worth,TX,76126,,,,,02/28/2022
Dedicated Commercial Recovery,"1970 Oakcrest Ave., #217",,,Saint Paul,MN,55113,,,,,08/31/2021
Dedicated Financial GBC / Amur Equipment,304 W 3rd St,,,Grand Island,NE,68801,,,,,06/30/2023
Dee Ann Harper,7500 San Jacinto Place,,,Plano,TX,75024,,,,,09/26/2023
Deer Park Urgent Care,PO Box 340,,,Deer Park,WA,99006,,,,,09/26/2025
Deer Valley Credit Union,16215 N 28th Avenue,,,Phoenix,AZ,85053-3040,,,,,04/27/2020
Deer Valley Medical Center,19829 N 27th Ave,,,Phoenix,AZ,85027,,,,,01/14/2021
Deercross By Elmington Prop. Management,7008 Deerpath Dr.,,,Indianapolis,IN,46254,,,,,08/02/2021
Defense Counterintelligence,and Security Agency,Fed Investigations Processing,PO Box 618,Boyers,PA,16018-0618,,,,,05/08/2024
Defense Fin & Acct SVC,8899 East 56th Street,,,Indianapolis,IN,46249,,,,,09/19/2025
Defense Finance & Accounting Serv,"Room 1907, 1240 E 9th St",,,Cleveland,OH,44199,,,,,03/29/2022
Dekalb County Circuit Court,133 W State St,,,Sycamore,IL,60178,,,,,06/02/2023
Delaware River Joint Toll Bridge Commiss,PO Box 4971,,,Trenton,NJ,08650,,,,,07/08/2021
Delgado Acosta Spencer Linebar,221 North Kansas Street,Suite 1400,,El Paso,TX,79901,,,,,01/15/2025
"Delivery Finance Service, Llc",Attn: Bankruptcy,"3710 W Greenway Road, Suite 131",,Phoenix,AZ,85053,,,,,02/12/2021
Delivery Financial Services,P.O. Box 41097,,,Phoenix,AZ,85080,,,,,02/18/2025
Dell Business Credit,Payment Processing Center,PO Box 5275,,Carol Stream,IL,60197,,,,,11/29/2023
Dell Financial Services,P.O. Box 6403,,,Carol Stream,IL,60197,,,,,06/19/2024
DELL FINANCIAL SERVICES,PO BOX 650971,,,Dallas,TX,75265,,,,,05/29/2024
Dell Financial Services,c/o DFS Customer Care Dept.,PO Box 81577,,Austin,TX,78708-1577,,,,,12/10/2020
"Dellwo, Roberts, and Scanlon, P.S.",1124 W Riverside Ave,,,Spokane,WA,99201,,,,,01/24/2025
Dellyrome LLC,30 N GOULD ST STE R,,,Sheridan,WY,82801-6317,,,,,05/08/2024
"Delray Auto Mall, Inc",Attn: Bankruptcy,2612 N. Federal Hwy,,Delray Beach,FL,33483,,,,,07/08/2022
Delta Asthma & Allergy Inc.,2335 Hwy 1 S,,,Greenville,MS,38701-8337,,,,,12/17/2021
Delta Dental,PO Box 997330,,,Sacramento,CA,95899-7330,,,,,11/21/2022
Delta Emergency Group LLC,PO Box 400,,,San Antonio,TX,78292-0400,,,,,12/17/2021
"Delta Mgmt Assoc., Inc.",PO Box 9191,,,Chelsea,MA,02150,,,,,10/27/2022
Delta Outsource Group,PO Box 1210,,,O Fallon,MO,63366-9010,,,,,07/05/2022
Denali Capital LLC,"c/o Equabli, Box EQ4515",4515 N Santa Fe Avenue,,Oklahoma City,OK,73118,,,,,07/30/2024
"Denali Capital, LLC Serviced by Webcolle",PO Box 2856,,,Chesapeake,VA,23327-2856,,,,,07/10/2023
Denali Real Estate,PO Box 31300,,,Mesa,AZ,85275,,,,,04/04/2023
Dennis Webb,123 Ohme Garden Rd,,,Wenatchee,WA,98801,,(509) 670-1289,,Lease.,07/02/2025
Denoya Gomez,on behalf of Brantley Blanco,510 S. 3rd St,,Selah,WA,98942,,,,,06/14/2022
Dental City,Attn: Billing | Bankruptcy,3205 Yeager Dr.,,Green Bay,WI,54311,,,,,10/22/2021
Dental Implants Solutions,27015 169th Pl SE #100,,,Kent,WA,98042,,,,,02/13/2023
Dentegra Insurance Company,PO Box 660138,,,Dallas,TX,75266-0138,,,,,08/15/2024
Dentek Dental Lab,"8155 E. Indian Bend Rd., #101",,,Scottsdale,AZ,85250,,,,,12/21/2021
Dentistry Northwest,Barrett John D DDS,"131 Randolph St., #8507",,Port Hadlock,WA,98339,,,,,03/17/2025
Dentists at Ironwood Crossing,17000 Red Hill Ave,,,Irvine,CA,92614-5626,,,,,01/24/2022
"Denton Peterson Dunn, PLLC",Suite 200,1930 North Arboleda,,Mesa,AZ,85213,,,,,01/19/2021
Denver County District Court,"1437 Bannock Street, Rm 256",,,Denver,CO,80203,,,,,03/05/2025
Dep of Ed/Navient,Attn: Claims Dept.,PO BOX 9500,,Wilkes Barre,PA,18773,,,,,02/10/2022
Dep of Social and Health Servi,PO Box 1699,,,Tacoma,WA,98411-6699,,,,,03/09/2022
Department of Corrections,South Dakota Obligation Recovery Center,PO Box 85470,,Sioux Falls,SD,57118,,,,,01/21/2026
Department of Defense Finance & Accounti,C/O US Treasury,PO BOX 979101,,Saint Louis,MO,63197-9000,,,,,08/07/2023
Department of Economic Security,PO Box 60,,,Phoenix,AZ,85001,,,,,10/24/2019
Department of Ed/Aidvantage,PO Box 300001,,,Greenville,TX,75403,,,,Student Loan,10/29/2025
Department of Education,Fedloan Servicing,PO Box 530210,,Atlanta,GA,30353-0210,,,,,10/26/2021
Department of Education,121 S 13th St,,,Lincoln,NE,68508,,,,,07/25/2025
Department of Education/NELN,121 S 131th St.,,,Lincoln,NE,68508,,,,,05/21/2025
Department of Labor and Indust,P.O. Box 44510,,,Olympia,WA,98504,,,,,11/14/2024
Department of Labor and Indust,Claims Collections,PO Box 44826,,Olympia,WA,98504-4826,,,,,07/07/2025
Department of Labor and Industries,PO Box 34022,,,Seattle,WA,98124-1022,,,,,05/25/2023
Department of Labor and Industries,PO Box 44171,,,Olympia,WA,98504-4171,,,,,05/15/2023
Department of Licensing,State of Washington,PO Box 9030,,Olympia,WA,98507,,,,,07/24/2023
Department of Taxation,Maui Collection Branch,"54 S. High St, #208",,Wailuku,HI,96793,,,,,10/24/2023
department of the treasury,PO BOX 830794,,,Birmingham,AL,35283,,,,,03/25/2026
Department of the Treasury,Bureau of the Fiscal Service,P.O. Box 830794,,Birmingham,AL,35283-0794,,,,,06/09/2025
Department of the Treasury,Internal Revenue Servic,,,Kansas City,MO,64999-0010,,,,,01/27/2020
Department of Transportation,PO Box 47418,,,Olympia,WA,98504,,,,,08/31/2022
Department of Veterans Affairs,PO Box 3978,,,Portland,OR,97208-3978,,,,,09/01/2022
Department of Veterans Affairs,WCPAC,PO BOX 3978,,Portland,OR,97208-3978,,,,,08/19/2025
Department of Veterans Affairs,P.O. Box 8888,,,Muskogee,OK,74402-8888,,,,,04/17/2025
Department Stores - National B,120 Corporate Blvd Ste 100,,,Norfolk,VA,23502,8446753408,,,,07/29/2025
Depaul Hospital - St. Louis,12303 De Paul Dr,,,Bridgeton,MO,63044,,,,,09/14/2021
Dept of Child Support Services,3666 Kearny Villa Rd,,,San Diego,CA,92123,,,,,09/29/2022
Dept of Defense,8899 E 56th ST,,,Indianapolis,IN,46249,,,,,10/30/2025
Dept of Economic Security/Empmt Service,3443 N. Central Ave.,1st Floor - Suite 100,,Phoenix,AZ,85012,,,,,09/15/2022
DEPT OF ED,121 S 13th St. Lincoln,,,Lincoln,NE,68508,,,,,02/10/2026
Dept of Ed/Aidvantage,PO Box 300001,,,Greenville,TX,75403,,,,Student Loan,10/29/2025
DEPT OF ED/AIDVANTAGE,1891 METRO CENTER DR,,,Reston,VA,20190,,,,,01/12/2026
DEPT OF ED/AIDVANTAGE,"1600 Tyson Boulevard,","ST MCLEAN, VA",,Greenville,TX,75403,,,,,02/12/2026
Dept of Ed/Nelnet,Attn: Bankruptcy Claims/Nelnet,Po Box 82505,,Lincoln,NE,68501,,,,,10/27/2023
DEPT OF ED/NELNET,PO BOX 82561,,,Lincoln,NE,68501,,,,,08/22/2025
Dept Of Education/neln,Po Box 82561,,,Lincoln,NE,68501,,,,,07/16/2025
Dept Of Education/neln,PO Box 82505,,,Lincoln,NE,68501,,,,,09/04/2025
Dept of Education/NELTNET,PO Box 82561,,,Lincoln,NE,68501,,,,,09/02/2025
Dept of Taxation,State of Hawaii,Attn: Bankruptcy Unit,PO Box 259,Honolulu,HI,96809,,,,,10/13/2025
Dept of Veteran Affairs,PO BOX 3978,,,Portland,OR,97208,,,,,06/20/2025
Dept of Veterans Affairs,Financial Services Center,"3687 Veterans Dr., PO Box 1004",,Fort Harrison,MT,59636,,,,,02/17/2023
Dept. of Ed./Aidvantage,Attn: Bankruptcy,PO Box 300001,,Greenville,TX,75403-3001,,,,,08/08/2025
Dept. Of Ed/ Navient,PO Box 9635,,,Wilkes Barre,PA,18773,,,,,05/28/2025
Dept. Of Education/Nelnet,121 S 13th Street,,,Lincoln,NE,68508,,,,,07/16/2025
Dept. of Health,PO Box 47903,,,Olympia,WA,98504-7903,,,,,01/06/2022
Dept. of Homeland Security,P.O. Box 979126,,,Saint Louis,MO,63197,,,,,01/04/2024
Dept. Of Natural Resources,PO BOX 47041,,,Olympia,WA,98504-7041,,,,,03/29/2022
Dept. of Veterans Affairs,Debt Management Center,PO Box 11930,,Saint Paul,MN,55111-0930,,,,,03/02/2023
Derma Wand,15820 Euclid Avenue,,,Chino,CA,91708,,,,,12/08/2020
"Dermatology Management, LLC",PO Box 840565,,,Los Angeles,CA,90084-0565,,,,,05/07/2021
Dermatology Specialist of Spokane,510 S Cowley St Suite 200,,,Spokane,WA,99202-1332,,,,,09/08/2025
Dermatology Specialists of Spokane,"510 Cowley S, Suite 200",,,Spokane,WA,99202,,,,,09/08/2025
Derrick Grant,"7350 N. Pima Road, Unit 213",,,Scottsdale,AZ,85258,,,,,02/10/2022
Derwin Andaya,21422 S. 184th Way,,,Queen Creek,AZ,85142,,,,,10/01/2024
Des Moines Dental CTR,P.O Box 821330,,,Vancouver,WA,98682,,,,,06/30/2025
Des Moines Municipal Court,"21630 11th Ave. S, Ste. C",,,Seattle,WA,98188,,,,,12/16/2022
Des Moines Station LLC,3201 Jahn Ave NW,Suite 218,,Gig Harbor,WA,98335,,,,,04/08/2025
Deseert Wst OBGYN,6678 W. Thunderbird Road,,,Glendale,AZ,85306,,,,,01/30/2025
Desert Bimmer Motor Werks,781 S. Arizona Ave,,,Chandler,AZ,85225,,,,,11/09/2023
Desert Cedars Homeowners Association,"c/o Stratman Law Firm, PLC","20860 North Tatum Boulevard, Suite 380",,Phoenix,AZ,85050,,,,,04/15/2021
Desert Crossing Community Association,c/o City Property Management,4645 E Cotton Gin Loop,,Phoenix,AZ,85040,,,,,01/29/2026
Desert Dreams Anesthesia,PO Box 39179,,,Phoenix,AZ,85069,,,,,07/12/2021
Desert Finance LLC,PO Box 7006,,,Tempe,AZ,85281,,,,,09/30/2025
Desert Financial Federal Credit Union,Cardmember Services,PO Box 790408,,Saint Louis,MO,63179,,,,,03/18/2021
Desert Financial Federal Credit Union,PO Box 2945,,,Phoenix,AZ,85062-2945,,,,,06/03/2020
Desert Harbor Community Assoc,9362 E. Raintree Dr.,,,Scottsdale,AZ,85260,,,,,12/20/2021
Desert Harbor LLC,8885 W. Thunderbird Rd.,,,Peoria,AZ,85381,,,,,03/18/2021
Desert Heart Center,Suite 3400,3815 E Bell rd,,Phoenix,AZ,85032,,,,,03/08/2023
Desert Hospitalist PC,MSC 283,PO Box 29048,,Phoenix,AZ,85038,,,,,05/27/2021
Desert Imaging Services,112 W Castellano Dr,,,El Paso,TX,79912-6170,,,,,10/25/2021
Desert Institute for Spine Care,"1635 E Myrtle Ave, Suite 400",,,Phoenix,AZ,85020-5514,,,,,11/02/2021
Desert Kidney,3511 S. Mercy Road,,,Gilbert,AZ,85297,,,,,04/03/2020
Desert Lakes Management Inc,dba Desert Lakes Apts,10201 S. 51st St. #275,,Phoenix,AZ,85044,,,,,12/29/2021
Desert Moon Estates Community Associatio,c/o City Property Managment,4645 E. Cotton Gin Loop,,Phoenix,AZ,85040,,,,,09/18/2024
Desert Oasis of Surprise Master,c/o AAM LLC,"1600 W. Broadway Rd., Suite 200",,Tempe,AZ,85282,,,,,01/29/2021
Desert Orthopedic Specialists PC,2905 W. Warner Rd. Ste. 23,,,Chandler,AZ,85224,,,,,10/27/2020
Desert Parkway Behavioral Health,Attn: Bankruptcy,3247 Maryland Parkway,,Las Vegas,NV,89109,,,,,01/06/2021
Desert Passage Community Association,c/o Trestle Management Group,"450 N. Dobson Rd., #201",,Mesa,AZ,85201,,,,,01/04/2022
Desert Place at Morrison Ranch,"633 E Ray Rd., Suite 122",,,Gilbert,AZ,85296,,,,,03/26/2024
Desert Pueblo,1302 W. Ajo Way,,,Tucson,AZ,85713,,,,,05/24/2024
Desert Radiology Solutions,P.O. Box 841645,,,Los Angeles,CA,90084,,,,,10/03/2024
Desert Ridge Family Physicians,Suite 300,20940 N. Tatum Blvd.,,Phoenix,AZ,85050,,,,,03/16/2022
Desert Ridge Justice Court,18380 N. 40th St.,,,Phoenix,AZ,85032,,,,,12/09/2020
Desert Ridge Justice Court,RE Case #,18380 N. 40th St.,,Phoenix,AZ,85032,,,,,12/09/2020
Desert Ridge Justice Court Maricopa,Re: Case No. CC2023158159RC,18380 N 40th St #130,,Phoenix,AZ,85032,305-372-7100,,,,03/17/2026
Desert Rose Dental,8275 N Silverbell Rd,Suite 101,,Tucson,AZ,85743,,,,,06/26/2025
Desert Sage Dermatology,7301 E. 2nd St.,,,Scottsdale,AZ,85251,,,,,05/23/2023
Desert Sands Properties Apartments,720 W. O'niel Dr. #2218,,,Casa Grande,AZ,85122,,,,,10/22/2020
"Desert Service Company, LLC",204 N. 6th St.,,,Buckeye,AZ,85326,,,,,05/05/2021
Desert Sky Spine and Sports Medicine,attn #12549J,PO Box 14000,,Belfast,ME,04915,,,,,12/09/2022
Desert Sky Spine and Sports Medicine,6585 N Oracle Rd,,,Tucson,AZ,85704,,,,,12/09/2022
"Desert Soul Boutique, LLC",1633 Wildwood Dr.,,,Phoenix,AZ,85045,,,,,04/06/2020
Desert Springs Dental,5656 S Power Rd.,,,Gilbert,AZ,85295,,,,,05/22/2020
Desert Star Apartments,1106 W. Bell Rd.,,,Phoenix,AZ,85023,,,,,06/30/2021
